season,week,n_contestants,actual_eliminated,rank_method_eliminated,rank_method_correct,percent_method_eliminated,percent_method_correct,methods_agree
1,2,6,Trista Sutter,Kelly Monaco,False,Trista Sutter,True,False
1,3,5,Evander Holyfield,Evander Holyfield,True,Evander Holyfield,True,True
1,4,4,Rachel Hunter,John O'Hurley,False,Rachel Hunter,True,False
1,5,3,Joey McIntyre,Joey McIntyre,True,Joey McIntyre,True,True
1,6,2,John O'Hurley,John O'Hurley,True,John O'Hurley,True,True
2,1,10,Kenny Mayne,Master P,False,Kenny Mayne,True,False
2,2,9,Tatum O'Neal,Tatum O'Neal,True,Lisa Rinna,False,False
2,3,8,Giselle Fernandez,Jerry Rice,False,Giselle Fernandez,True,False
2,4,7,Master P,Master P,True,Master P,True,True
2,5,6,Tia Carrere,Tia Carrere,True,Tia Carrere,True,True
2,6,5,George Hamilton,George Hamilton,True,George Hamilton,True,True
2,7,4,Lisa Rinna,Lisa Rinna,True,Lisa Rinna,True,True
2,8,3,Stacy Keibler,Stacy Keibler,True,Stacy Keibler,True,True
3,1,11,Tucker Carlson,Tucker Carlson,True,Tucker Carlson,True,True
3,2,10,Shanna Moakler,Jerry Springer,False,Shanna Moakler,True,False
3,3,9,Harry Hamlin,Jerry Springer,False,Harry Hamlin,True,False
3,4,8,Vivica A. Fox,Sara Evans,False,Vivica A. Fox,True,False
3,5,7,Willa Ford,Sara Evans,False,Willa Ford,True,False
3,7,5,Jerry Springer,Jerry Springer,True,Jerry Springer,True,True
3,8,4,Monique Coleman,Monique Coleman,True,Monique Coleman,True,True
3,9,3,Joey Lawrence,Joey Lawrence,True,Joey Lawrence,True,True
3,10,2,Mario Lopez,Mario Lopez,True,Mario Lopez,True,True
4,2,11,Paulina Porizkova,Clyde Drexler,False,Paulina Porizkova,True,False
4,3,10,Shandi Finnessey,Clyde Drexler,False,Shandi Finnessey,True,False
4,4,9,Leeza Gibbons,Clyde Drexler,False,Leeza Gibbons,True,False
4,5,8,Clyde Drexler,Clyde Drexler,True,Clyde Drexler,True,True
4,6,7,Heather Mills,John Ratzenberger,False,Heather Mills,True,False
4,7,6,John Ratzenberger,John Ratzenberger,True,John Ratzenberger,True,True
4,8,5,Billy Ray Cyrus,Billy Ray Cyrus,True,Billy Ray Cyrus,True,True
4,9,4,Ian Ziering,Ian Ziering,True,Ian Ziering,True,True
4,10,3,Laila Ali,Laila Ali,True,Laila Ali,True,True
5,1,12,Josie Maran,Josie Maran,True,Josie Maran,True,True
5,2,11,Albert Reed,Wayne Newton,False,Albert Reed,True,False
5,3,10,Wayne Newton,Wayne Newton,True,Wayne Newton,True,True
5,4,9,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True,Floyd Mayweather Jr. ,True,True
5,5,8,Mark Cuban,Mark Cuban,True,Mark Cuban,True,True
5,6,7,Sabrina Bryan,Jane Seymour,False,Sabrina Bryan,True,False
5,7,6,Jane Seymour,Jane Seymour,True,Jane Seymour,True,True
5,8,5,Cameron Mathison,Marie Osmond,False,Cameron Mathison,True,False
5,9,4,Jennie Garth,Jennie Garth,True,Jennie Garth,True,True
5,10,3,Helio Castroneves,Helio Castroneves,True,Helio Castroneves,True,True
6,2,12,Monica Seles,Monica Seles,True,Monica Seles,True,True
6,3,10,Steve Guttenberg,Marissa Jaret Winokur,False,Steve Guttenberg,True,False
6,4,9,Adam Carolla,Adam Carolla,True,Adam Carolla,True,True
6,5,8,Priscilla Presley,Priscilla Presley,True,Priscilla Presley,True,True
6,6,7,Marlee Matlin,Marlee Matlin,True,Marlee Matlin,True,True
6,7,6,Shannon Elizabeth,Cristian de la Fuente,False,Shannon Elizabeth,True,False
6,8,5,Mario,Marissa Jaret Winokur,False,Mario,True,False
6,9,4,Marissa Jaret Winokur,Marissa Jaret Winokur,True,Marissa Jaret Winokur,True,True
6,10,3,Cristian de la Fuente,Cristian de la Fuente,True,Cristian de la Fuente,True,True
7,1,13,Ted McGinley,Jeffrey Ross,False,Ted McGinley,True,False
7,2,11,Misty May-Treanor,Cloris Leachman,False,Misty May-Treanor,True,False
7,4,9,Rocco DiSpirito,Rocco DiSpirito,True,Rocco DiSpirito,True,True
7,5,8,Toni Braxton,Cloris Leachman,False,Toni Braxton,True,False
7,6,7,Cloris Leachman,Cloris Leachman,True,Cloris Leachman,True,True
7,7,6,Susan Lucci,Susan Lucci,True,Susan Lucci,True,True
7,8,5,Maurice Greene,Maurice Greene,True,Maurice Greene,True,True
7,9,4,Cody Linley,Cody Linley,True,Cody Linley,True,True
7,10,3,Warren Sapp,Warren Sapp,True,Warren Sapp,True,True
8,1,13,Ty Murray,Denise Richards,False,Ty Murray,True,False
8,2,13,Belinda Carlisle,Steve-O,False,Belinda Carlisle,True,False
8,3,12,Denise Richards,Denise Richards,True,Denise Richards,True,True
8,4,11,Steve Wozniak,Steve Wozniak,True,Steve Wozniak,True,True
8,5,9,David Alan Grier,Steve-O,False,David Alan Grier,True,False
8,6,8,Steve-O,Steve-O,True,Steve-O,True,True
8,7,7,Lawrence Taylor,Lawrence Taylor,True,Lawrence Taylor,True,True
8,8,6,Chuck Wicks,Chuck Wicks,True,Chuck Wicks,True,True
8,9,5,Lil' Kim,Ty Murray,False,Lil' Kim,True,False
8,10,4,Ty Murray,Ty Murray,True,Ty Murray,True,True
9,1,16,Ashley Hamiliton,Ashley Hamiliton,True,Ashley Hamiliton,True,True
9,2,14,Kathy Ireland,Kathy Ireland,True,Kathy Ireland,True,True
9,3,13,Debi Mazar,Michael Irvin,False,Debi Mazar,True,False
9,4,11,Chuck Liddell,Chuck Liddell,True,Chuck Liddell,True,True
9,5,10,Natalie Coughlin,Michael Irvin,False,Natalie Coughlin,True,False
9,6,9,Melissa Joan Hart,Melissa Joan Hart,True,Melissa Joan Hart,True,True
9,7,7,Mark Dacascos,Mark Dacascos,True,Mark Dacascos,True,True
9,8,5,Aaron Carter,Aaron Carter,True,Aaron Carter,True,True
9,9,4,Joanna Krupa,Donny Osmond,False,Joanna Krupa,True,False
9,10,3,Mya,Mya,True,Mya,True,True
10,2,11,Shannen Doherty,Buzz Aldrin,False,Shannen Doherty,True,False
10,3,10,Buzz Aldrin,Buzz Aldrin,True,Buzz Aldrin,True,True
10,4,9,Aiden Turner,Aiden Turner,True,Aiden Turner,True,True
10,5,8,Kate Gosselin,Kate Gosselin,True,Kate Gosselin,True,True
10,6,7,Jake Pavelka,Jake Pavelka,True,Jake Pavelka,True,True
10,7,6,Pamela Anderson,Niecy Nash,False,Pamela Anderson,True,False
10,8,5,Niecy Nash,Niecy Nash,True,Niecy Nash,True,True
10,9,4,Chad Ochocinco,Chad Ochocinco,True,Chad Ochocinco,True,True
10,10,3,Evan Lysacek,Evan Lysacek,True,Evan Lysacek,True,True
11,1,12,David Hasselhoff,David Hasselhoff,True,David Hasselhoff,True,True
11,2,11,Michael Bolton,Michael Bolton,True,Michael Bolton,True,True
11,3,10,Margaret Cho,Margaret Cho,True,Margaret Cho,True,True
11,4,9,The Situation,The Situation,True,The Situation,True,True
11,5,8,Florence Henderson,Bristol Palin,False,Florence Henderson,True,False
11,6,7,Audrina Patridge,Kurt Warner,False,Audrina Patridge,True,False
11,7,6,Rick Fox,Bristol Palin,False,Rick Fox,True,False
11,8,5,Kurt Warner,Kurt Warner,True,Kurt Warner,True,True
11,9,4,Brandy,Brandy,True,Brandy,True,True
11,10,3,Kyle Massey,Kyle Massey,True,Kyle Massey,True,True
12,2,11,Mike Catherwood,Mike Catherwood,True,Mike Catherwood,True,True
12,3,10,Wendy Williams,Wendy Williams,True,Wendy Williams,True,True
12,4,9,Sugar Ray Leonard,Sugar Ray Leonard,True,Sugar Ray Leonard,True,True
12,5,8,Petra Nemcova,Petra Nemcova,True,Petra Nemcova,True,True
12,6,7,Chris Jericho,Chris Jericho,True,Chris Jericho,True,True
12,7,6,Kendra Wilkinson,Romeo,False,Kendra Wilkinson,True,False
12,8,5,Romeo,Ralph Macchio,False,Romeo,True,False
12,9,4,Ralph Macchio,Ralph Macchio,True,Ralph Macchio,True,True
12,10,3,Chelsea Kane,Kirstie Alley,False,Chelsea Kane,True,False
13,1,12,Metta World Peace (Ron),Metta World Peace (Ron),True,Metta World Peace (Ron),True,True
13,2,11,Elisabetta Canalis,Chaz Bono,False,Elisabetta Canalis,True,False
13,3,10,Kristin Cavallari,Chaz Bono,False,Kristin Cavallari,True,False
13,4,9,Chynna Phillips,Carson Kressley,False,Chynna Phillips,True,False
13,5,8,Carson Kressley,Carson Kressley,True,Carson Kressley,True,True
13,6,7,Chaz Bono,Chaz Bono,True,Chaz Bono,True,True
13,7,6,David Arquette,David Arquette,True,David Arquette,True,True
13,8,5,Nancy Grace,Nancy Grace,True,Nancy Grace,True,True
13,9,4,Hope Solo,Hope Solo,True,Hope Solo,True,True
13,10,3,Ricki Lake,Ricki Lake,True,Ricki Lake,True,True
14,2,12,Martina Navratilova,Martina Navratilova,True,Martina Navratilova,True,True
14,3,11,Jack Wagner,Jack Wagner,True,Jack Wagner,True,True
14,4,10,Sherri Sheperd,Sherri Sheperd,True,Sherri Sheperd,True,True
14,5,9,Gavin DeGraw,Gavin DeGraw,True,Gavin DeGraw,True,True
14,6,8,Gladys Knight,Gladys Knight,True,Gladys Knight,True,True
14,7,7,Jaleel White,Jaleel White,True,Jaleel White,True,True
14,8,6,Roshon Fegan,Melissa Gilbert,False,Roshon Fegan,True,False
14,9,4,Maria Menounos,Donald Driver,False,Maria Menounos,True,False
14,10,3,William Levy,William Levy,True,William Levy,True,True
15,1,13,Pamela Anderson,Pamela Anderson,True,Pamela Anderson,True,True
15,2,12,Joey Fatone,Bristol Palin,False,Joey Fatone,True,False
15,3,11,Helio Castroneves,Emmitt Smith,False,Helio Castroneves,True,False
15,4,9,Bristol Palin,Kirstie Alley,False,Bristol Palin,True,False
15,6,8,Sabrina Bryan,Emmitt Smith,False,Sabrina Bryan,True,False
15,8,7,Gilles Marini,Kirstie Alley,False,Gilles Marini,True,False
15,9,5,Apolo Anton Ohno,Emmitt Smith,False,Apolo Anton Ohno,True,False
15,10,3,Kelly Monaco,Kelly Monaco,True,Kelly Monaco,True,True
16,1,12,Alexandra Raisman,Andy Dick,False,Andy Dick,False,True
16,2,12,Dorothy Hamill,Dorothy Hamill,True,Dorothy Hamill,True,True
16,3,11,Wynonna Judd,D. L. Hughley,False,Wynonna Judd,True,False
16,4,10,Lisa Vanderpump,Lisa Vanderpump,True,Lisa Vanderpump,True,True
16,5,9,D. L. Hughley,D. L. Hughley,True,D. L. Hughley,True,True
16,6,8,Victor Ortiz,Victor Ortiz,True,Victor Ortiz,True,True
16,7,7,Andy Dick,Andy Dick,True,Andy Dick,True,True
16,8,6,Sean Lowe,Sean Lowe,True,Sean Lowe,True,True
16,9,5,Ingo Rademacher,Ingo Rademacher,True,Ingo Rademacher,True,True
16,10,4,Zendaya,Jacoby Jones,False,Zendaya,True,False
17,1,12,Leah Remini,Keyshawn Johnson,False,Keyshawn Johnson,False,True
17,2,12,Keyshawn Johnson,Keyshawn Johnson,True,Keyshawn Johnson,True,True
17,3,11,Bill Nye,Bill Nye,True,Bill Nye,True,True
17,4,10,Valerie Harper,Valerie Harper,True,Valerie Harper,True,True
17,5,9,Christina Milian,Leah Remini,False,Christina Milian,True,False
17,7,8,"Nicole ""Snooki"" Polizzi",Bill Engvall,False,"Nicole ""Snooki"" Polizzi",True,False
17,8,7,Brant Daugherty,Brant Daugherty,True,Brant Daugherty,True,True
17,9,6,Elizabeth Berkley Lauren,Bill Engvall,False,Elizabeth Berkley Lauren,True,False
17,10,5,Leah Remini,Leah Remini,True,Leah Remini,True,True
17,11,4,Bill Engvall,Bill Engvall,True,Bill Engvall,True,True
18,1,12,Diana Nyad,Billy Dee Williams,False,Diana Nyad,True,False
18,2,11,Billy Dee Williams,Billy Dee Williams,True,Billy Dee Williams,True,True
18,5,9,Cody Simpson,Drew Carey,False,Cody Simpson,True,False
18,6,8,Drew Carey,Drew Carey,True,Drew Carey,True,True
18,7,7,NeNe Leakes,NeNe Leakes,True,NeNe Leakes,True,True
18,8,6,Danica McKellar,Danica McKellar,True,Danica McKellar,True,True
18,9,5,Charlie White,Candace Cameron Bure,False,Charlie White,True,False
18,10,4,James Maslow,James Maslow,True,James Maslow,True,True
19,1,13,Lolo Jones,Lolo Jones,True,Lolo Jones,True,True
19,2,12,Tavis Smiley,Michael Waltrip,False,Tavis Smiley,True,False
19,3,11,Randy Couture,Randy Couture,True,Randy Couture,True,True
19,4,10,Betsey Johnson,Jonathan Bennett,False,Betsey Johnson,True,False
19,6,9,Jonathan Bennett,Antonio Sabato Jr.,False,Jonathan Bennett,True,False
19,7,8,Antonio Sabato Jr.,Antonio Sabato Jr.,True,Antonio Sabato Jr.,True,True
19,8,7,Michael Waltrip,Michael Waltrip,True,Michael Waltrip,True,True
19,9,6,Lea Thompson,Lea Thompson,True,Lea Thompson,True,True
19,10,5,Tommy Chong,Tommy Chong,True,Tommy Chong,True,True
19,11,4,Bethany Mota,Bethany Mota,True,Bethany Mota,True,True
20,2,12,Redfoo,Chris Soules,False,Redfoo,True,False
20,3,11,Charlotte McKinney,Charlotte McKinney,True,Charlotte McKinney,True,True
20,4,10,Michael Sam,Chris Soules,False,Michael Sam,True,False
20,5,9,Suzanne Somers,Robert Herjavec,False,Suzanne Somers,True,False
20,6,8,Patti LaBelle,Robert Herjavec,False,Patti LaBelle,True,False
20,7,7,Willow Shields,Robert Herjavec,False,Willow Shields,True,False
20,8,6,Robert Herjavec,Robert Herjavec,True,Robert Herjavec,True,True
20,9,4,Nastia Liukin,Noah Galloway,False,Nastia Liukin,True,False
20,10,3,Riker Lynch,Noah Galloway,False,Riker Lynch,True,False
21,1,13,Carlos PenaVega,Chaka Khan,False,Chaka Khan,False,True
21,2,13,Victor Espinoza,Gary Busey,False,Victor Espinoza,True,False
21,4,10,Gary Busey,Gary Busey,True,Gary Busey,True,True
21,6,9,Paula Deen,Paula Deen,True,Paula Deen,True,True
21,7,8,Hayes Grier,Alek Skarlatos,False,Hayes Grier,True,False
21,8,7,Andy Grammer,Andy Grammer,True,Andy Grammer,True,True
21,9,6,Alexa PenaVega,Tamar Braxton,False,Alexa PenaVega,True,False
21,11,4,Carlos PenaVega,Alek Skarlatos,False,Carlos PenaVega,True,False
22,2,12,Geraldo Rivera,Geraldo Rivera,True,Geraldo Rivera,True,True
22,3,11,Mischa Barton,Mischa Barton,True,Mischa Barton,True,True
22,4,10,Marla Maples,Doug Flutie,False,Marla Maples,True,False
22,6,9,Doug Flutie,Doug Flutie,True,Doug Flutie,True,True
22,7,8,Kim Fields,Jodie Sweetin,False,Kim Fields,True,False
22,8,6,Jodie Sweetin,Wanya Morris,False,Jodie Sweetin,True,False
22,9,5,Antonio Brown,Antonio Brown,True,Antonio Brown,True,True
22,10,3,Paige VanZant,Ginger Zee,False,Paige VanZant,True,False
23,1,13,Jana Kramer,Jake T. Austin,False,Jake T. Austin,False,True
23,2,13,Jake T. Austin,Rick Perry,False,Jake T. Austin,True,False
23,3,12,Rick Perry,Rick Perry,True,Rick Perry,True,True
23,4,11,Babyface,Babyface,True,Babyface,True,True
23,6,9,Amber Rose,Amber Rose,True,Amber Rose,True,True
23,7,8,Maureen McCormick,Marilu Henner,False,Maureen McCormick,True,False
23,8,7,Ryan Lochte,Marilu Henner,False,Ryan Lochte,True,False
23,9,6,Marilu Henner,Marilu Henner,True,Marilu Henner,True,True
23,10,5,Terra Jole,Calvin Johnson Jr.,False,Terra Jole,True,False
23,11,4,Jana Kramer,Jana Kramer,True,Jana Kramer,True,True
24,2,12,Chris Kattan,Chris Kattan,True,Chris Kattan,True,True
24,3,11,Charo,Charo,True,Charo,True,True
24,4,10,Mr. T,Mr. T,True,Mr. T,True,True
24,5,9,Erika Jayne,David Ross,False,Erika Jayne,True,False
24,6,8,Heather Morris,Nick Viall,False,Heather Morris,True,False
24,7,7,Nancy Kerrigan,Bonner Bolton,False,Nancy Kerrigan,True,False
24,8,5,Bonner Bolton,Bonner Bolton,True,Bonner Bolton,True,True
24,9,4,Simone Biles,David Ross,False,Simone Biles,True,False
24,10,3,David Ross,David Ross,True,David Ross,True,True
25,1,13,Drew Scott,Terrell Owens,False,Terrell Owens,False,True
25,2,13,Barbara Corcoran,Barbara Corcoran,True,Barbara Corcoran,True,True
25,4,11,Derek Fisher,Derek Fisher,True,Derek Fisher,True,True
25,5,10,Sasha Pieterse,Nick Lachey,False,Sasha Pieterse,True,False
25,6,9,Nick Lachey,Nick Lachey,True,Nick Lachey,True,True
25,7,8,Nikki Bella,Nikki Bella,True,Nikki Bella,True,True
25,8,6,Terrell Owens,Drew Scott,False,Terrell Owens,True,False
25,9,5,Victoria Arlen,Frankie Muniz,False,Victoria Arlen,True,False
25,10,4,Frankie Muniz,Frankie Muniz,True,Frankie Muniz,True,True
26,1,10,Jamie Anderson,Jamie Anderson,True,Jamie Anderson,True,True
26,2,8,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,True,Kareem Abdul-Jabbar,True,True
26,3,6,Jennie Finch Daigle,Jennie Finch Daigle,True,Jennie Finch Daigle,True,True
26,4,3,Tonya Harding,Tonya Harding,True,Tonya Harding,True,True
27,1,13,Nikki Glaser,Nikki Glaser,True,Nikki Glaser,True,True
27,2,12,Danelle Umstead,Danelle Umstead,True,Danelle Umstead,True,True
27,3,11,Nancy McKeon,Nancy McKeon,True,Nancy McKeon,True,True
27,4,10,Tinashe,Joe Amabile,False,Tinashe,True,False
27,6,9,Mary Lou Retton,John Schneider,False,Mary Lou Retton,True,False
27,7,8,John Schneider,Joe Amabile,False,John Schneider,True,False
27,8,6,Juan Pablo Di Pace,Joe Amabile,False,Juan Pablo Di Pace,True,False
27,9,4,Evanna Lynch,Bobby Bones,False,Evanna Lynch,True,False
28,1,12,James Van Der Beek,Sean Spicer,False,Kate Flannery,False,False
28,2,12,Ray Lewis,Lamar Odom,False,Ray Lewis,True,False
28,4,10,Lamar Odom,Lamar Odom,True,Lamar Odom,True,True
28,6,9,Sailor Brinkley-Cook,Ally Brooke,False,Sailor Brinkley-Cook,True,False
28,7,8,Karamo Brown,Sean Spicer,False,Karamo Brown,True,False
28,8,7,Kate Flannery,Kate Flannery,True,Kate Flannery,True,True
28,9,6,Sean Spicer,Sean Spicer,True,Sean Spicer,True,True
28,10,5,James Van Der Beek,James Van Der Beek,True,James Van Der Beek,True,True
29,1,15,Skai Jackson,Chrishell Stause,False,Chrishell Stause,False,True
29,2,15,Charles Oakley,Charles Oakley,True,Charles Oakley,True,True
29,3,14,Carole Baskin,Carole Baskin,True,Carole Baskin,True,True
29,4,13,Anne Heche,Anne Heche,True,Anne Heche,True,True
29,5,12,Jesse Metcalfe,Jesse Metcalfe,True,Jesse Metcalfe,True,True
29,6,11,Veron Davis,Skai Jackson,False,Veron Davis,True,False
29,7,10,Monica Aldama,Monica Aldama,True,Monica Aldama,True,True
29,8,8,Chrishell Stause,Skai Jackson,False,Chrishell Stause,True,False
29,9,7,AJ McLean,AJ McLean,True,AJ McLean,True,True
29,10,6,Skai Jackson,Nelly,False,Skai Jackson,True,False
30,2,15,Martin Kove,Martin Kove,True,Martin Kove,True,True
30,3,14,Christine Chiu,Brian Austin Green,False,Christine Chiu,True,False
30,4,13,Brian Austin Green,Brian Austin Green,True,Brian Austin Green,True,True
30,5,11,Melanie C,Jimmie Allen,False,Melanie C,True,False
30,6,10,Kenya Moore,Kenya Moore,True,Kenya Moore,True,True
30,7,9,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,"Mike ""The Miz"" Mizanin",True,True
30,8,8,Jimmie Allen,Jimmie Allen,True,Jimmie Allen,True,True
30,9,6,Melora Hardin,Melora Hardin,True,Melora Hardin,True,True
30,10,4,Iman Shumpert,Amanda Kloots,False,Iman Shumpert,True,False
31,1,16,Jason Lewis,Jason Lewis,True,Jason Lewis,True,True
31,2,15,Teresa Giudice,Cheryl Ladd,False,Teresa Giudice,True,False
31,3,14,Cheryl Ladd,Cheryl Ladd,True,Cheryl Ladd,True,True
31,4,13,Sam Champion,Sam Champion,True,Sam Champion,True,True
31,5,12,Selma Blair,Joseph Baena,False,Selma Blair,True,False
31,6,10,Jessie James Decker,Jessie James Decker,True,Jessie James Decker,True,True
31,7,9,Jordin Sparks,Jordin Sparks,True,Jordin Sparks,True,True
31,8,8,Heidi D'Amelio,Heidi D'Amelio,True,Heidi D'Amelio,True,True
31,9,6,Trevor Donovan,Trevor Donovan,True,Trevor Donovan,True,True
31,10,4,Wayne Brady,Wayne Brady,True,Wayne Brady,True,True
32,1,14,Matt Walsh,Matt Walsh,True,Matt Walsh,True,True
32,2,13,Jamie Lynn Spears,Jamie Lynn Spears,True,Jamie Lynn Spears,True,True
32,3,12,Tyson Beckford,Tyson Beckford,True,Tyson Beckford,True,True
32,4,11,Adrian Peterson,Mauricio Umansky,False,Adrian Peterson,True,False
32,5,10,Mira Sorvino,Mira Sorvino,True,Mira Sorvino,True,True
32,6,9,Mauricio Umansky,Harry Jowsey,False,Mauricio Umansky,True,False
32,7,8,Lele Pons,Barry Williams,False,Lele Pons,True,False
32,8,7,Barry Williams,Barry Williams,True,Barry Williams,True,True
32,9,6,Harry Jowsey,Harry Jowsey,True,Harry Jowsey,True,True
33,2,13,Tori Spelling,Eric Roberts,False,Tori Spelling,True,False
33,3,11,Eric Roberts,Eric Roberts,True,Eric Roberts,True,True
33,4,9,Brooks Nader,Dwight Howard ,False,Brooks Nader,True,False
33,5,8,Phaedra Parks,Phaedra Parks,True,Phaedra Parks,True,True
33,6,7,Jenn Tran,Danny Amendola,False,Jenn Tran,True,False
33,7,6,Dwight Howard ,Dwight Howard ,True,Dwight Howard ,True,True
33,9,5,Chandler Kinney,Chandler Kinney,True,Chandler Kinney,True,True
34,1,14,Whitney Leavitt,Baron Davis,False,Baron Davis,False,True
34,2,14,Corey Feldman,Corey Feldman,True,Corey Feldman,True,True
34,3,12,Lauren Jauregui,Lauren Jauregui,True,Lauren Jauregui,True,True
34,4,11,Hilaria Baldwin,Danielle Fishel,False,Hilaria Baldwin,True,False
34,6,10,Scott Hoying,Andy Richter,False,Scott Hoying,True,False
34,7,9,Jen Affleck,Andy Richter,False,Jen Affleck,True,False
34,8,8,Danielle Fishel,Danielle Fishel,True,Danielle Fishel,True,True
34,9,7,Andy Richter,Andy Richter,True,Andy Richter,True,True
34,10,6,Whitney Leavitt,Elaine Hendrix,False,Whitney Leavitt,True,False
